[2026-05-19T23:38:29.258Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.259Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.259Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.260Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.260Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.261Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.261Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.262Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.262Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.263Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.263Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.264Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.265Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.265Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.266Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.266Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.267Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.267Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.268Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.268Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.269Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.269Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.270Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.271Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.271Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.272Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.273Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.273Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.274Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.274Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-2
[2026-05-19T23:38:29.276Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.276Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.277Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.277Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.278Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.279Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.279Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.280Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.280Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.281Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.281Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.282Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.282Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.283Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.284Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.284Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.285Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.285Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.286Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.286Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.287Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.288Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.288Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.289Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.289Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
